STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,LGT_COND,WEATHER1,WEATHER2,WRK_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,YEAR,MILEPT,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,127,1,2,18,15,2,2,0,1,2,2,0,12,5,2,1,2,2,65,1,1,2,1,20,3,2,1,0,0,99,99,18,50,99,99,0,0,0,0,1,6,0,10001,0,2009,1626,US-SR 5,7797,0000000,33.80514722,-87.13351111,2,1
1,3,1,1,20,0,1,2,1,0,15,4,0,9,0,1,1,2,2,35,1,1,2,1,0,0,2,1,0,0,99,99,20,7,99,99,0,0,0,0,1,5,0,10002,0,2009,0,1480,99999999999999999999,0000000,30.60386944,-87.86482222,1,1
1,15,1,1,15,59,2,3,0,0,3,3,0,12,2,1,1,1,2,55,1,1,2,1,0,0,1,1,0,0,99,99,16,9,99,99,0,0,0,0,2,5,0,10003,0,2009,2228,SR-9,99999999999999999999,0000000,33.69306111,-85.67662778,2,1
1,69,1,3,8,40,2,3,0,0,4,3,0,12,5,1,1,1,2,55,1,2,2,1,0,0,1,1,0,0,99,99,9,5,99,99,0,0,0,0,1,7,0,10004,0,2009,149,SR-123,99999999999999999999,0000000,31.26560278,-85.62353611,2,1
1,77,1,3,0,5,1,1,0,0,6,4,0,34,0,1,4,1,2,45,1,2,2,1,0,0,2,5,0,0,99,99,0,30,88,88,0,0,0,0,1,7,1,10005,0,2009,0,1611,99999999999999999999,0000000,34.98948611,-87.22578056,1,5
1,9,1,6,14,50,2,2,0,0,3,3,0,12,5,1,1,1,2,55,1,1,2,2,0,0,1,2,0,0,99,99,15,5,99,99,0,0,0,0,1,3,0,10006,0,2009,2503,SR-53,99999999999999999999,0000000,33.943325,-86.41708333,2,2
1,75,1,7,5,30,1,1,0,0,3,3,0,42,0,1,4,1,4,55,2,2,2,2,0,0,2,2,0,0,99,99,5,38,88,88,0,0,0,0,1,4,0,10007,0,2009,2468,SR-17,99999999999999999999,0000000,33.8034,-88.11713333,1,2
1,15,1,7,19,50,1,2,1,0,14,3,0,8,0,1,2,2,2,55,1,2,2,1,0,0,2,1,0,0,99,99,20,10,99,99,0,0,0,0,1,4,0,10008,0,2009,55,SR-202,99999999999999999999,0000000,33.64149167,-85.88514722,1,1
1,125,1,8,17,48,1,1,0,0,6,4,0,1,0,1,4,1,2,45,2,1,2,1,0,0,2,1,0,0,99,99,17,45,88,88,0,0,0,0,1,5,1,10009,0,2009,0,1567,99999999999999999999,0000000,33.14240278,-87.44507778,1,1
1,97,1,9,21,30,2,6,0,1,2,2,0,12,1,1,1,1,2,55,1,2,2,1,0,0,2,1,0,0,99,99,21,40,99,99,0,0,0,0,3,6,1,10010,0,2009,239,US-SR 17,99999999999999999999,0000000,30.98290833,-88.238925,2,1
1,61,1,13,9,5,1,1,0,0,4,4,0,42,0,1,4,1,2,45,2,2,2,1,0,0,1,1,0,0,99,99,9,29,88,88,0,0,0,0,1,3,0,10011,0,2009,0,1147,99999999999999999999,0000000,31.17856944,-85.826675,1,1
1,21,1,15,14,45,1,3,0,0,5,4,0,42,0,1,4,1,2,45,2,2,2,1,0,0,1,1,0,0,99,99,2,50,99,99,0,0,0,0,1,5,1,10012,0,2009,0,1220,99999999999999999999,0000000,32.81670833,-86.67320278,1,1
1,101,1,15,19,58,2,2,0,1,12,2,0,12,5,10,1,2,2,55,1,1,2,1,3,3,3,1,0,0,99,99,20,8,99,99,0,0,0,0,1,5,0,10013,2130,2009,0,US-SR 231,5096,0000000,32.32344722,-86.23832778,2,1
1,9,1,17,15,0,1,1,0,0,6,4,0,42,0,1,4,1,2,25,2,1,2,1,0,0,1,1,0,0,99,99,15,20,88,88,0,0,0,0,1,7,1,10014,0,2009,0,1004,99999999999999999999,0000000,34.22773611,-86.51943611,1,1
1,99,1,21,22,45,1,2,0,0,6,4,0,42,0,2,4,1,2,40,1,1,2,1,20,3,2,1,0,0,99,99,23,22,99,99,0,0,0,0,1,4,1,10015,0,2009,0,1230,7063,0000000,31.25852222,-87.621825,1,1
1,109,1,21,10,10,2,3,0,1,2,2,0,34,0,1,3,2,4,65,1,1,2,1,0,0,1,1,0,0,99,99,10,30,99,99,0,0,0,0,1,4,1,10016,0,2009,848,US-SR 53,99999999999999999999,0000000,31.90233611,-86.01161944,2,1
1,85,1,22,8,38,2,5,0,1,2,2,0,12,5,2,1,2,2,55,1,1,2,1,20,3,1,1,0,0,99,99,8,55,99,99,0,0,0,0,2,5,0,10017,0,2009,1180,US-SR 8,7427,0000000,32.27033333,-86.51298889,2,1
1,103,1,1,0,54,1,2,0,0,12,2,0,37,0,1,4,1,4,40,2,2,2,1,0,0,3,1,0,0,99,99,0,55,99,99,0,20,0,0,1,5,1,10018,890,2009,0,US-SR 3,99999999999999999999,0000000,34.60811667,-86.97925278,1,1
1,97,1,14,17,40,2,2,0,0,15,4,0,12,2,1,1,1,2,45,1,1,2,1,0,0,2,1,0,0,99,99,17,55,99,99,0,0,0,0,1,4,0,10019,0,2009,0,1216,99999999999999999999,0000000,30.45355833,-88.24098611,2,1
1,103,1,21,22,37,1,1,0,0,2,3,0,18,0,1,1,1,2,55,1,1,2,1,5,3,2,1,0,3,99,99,22,40,99,99,0,0,0,0,1,4,1,10020,890,2009,0,SR-67,99999999999999999999,0000000,34.53885556,-86.91489167,1,1
