STATE,VEH_NO,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,LOCATION,DRINKING,ALC_DET,ATST_TYP,ALC_RES,ALC_STATUS,DRUGS,DSTATUS,DRUG_DET,DRUGTST1,DRUGRES1,DRUGTST2,DRUGRES2,DRUGTST3,DRUGRES3,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,RACE,HISPANIC,P_CF1,P_CF2,P_CF3,WORK_INJ,DOA,ST_CASE,DEATH_YR,DEATH_TM,CERT_NO,MAKE,BODY_TYP,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,COUNTY,MONTH,DAY,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VE_FORMS
1,1,1,0,23,1,1,11,0,20,0,0,0,0,0,9,0,96,0,0,0,8,0,0,0,0,0,0,4,1,1,23,12,7,497,52,1,7,0,0,0,0,0,10001,2009,1207,************,52,4,0,0,0,0,3,3,2,0,52035,2001,MES,***,4D,984,0,,2437,,127,1,2,18,15,2,12,5,0,2
1,2,1,0,37,1,1,11,3,1,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10001,8888,8888,************,20,31,0,0,0,0,12,12,1,0,20482,2002,CAV,AVL,CW,1300,0,,,2,127,1,2,18,15,2,12,5,0,2
1,0,1,1,47,1,6,0,0,0,8,0,0,12,9,9,1,0,2,9,2,8,1,997,0,0,0,0,4,1,1,1,21,40,1,40,2,7,0,0,0,0,0,10002,2009,2140,************,,,,,,,,,,,,,,,,,,,,,3,1,1,20,0,15,9,0,0,1
1,1,1,0,52,1,1,11,3,20,0,0,0,0,0,5,1,0,2,1,2,8,1,997,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10002,8888,8888,************,7,4,0,0,0,0,12,12,1,0,7041,2002,ISE,***,4D,1130,0,,3373,,3,1,1,20,0,15,9,0,0,1
1,1,1,0,40,1,1,11,0,1,0,0,0,0,0,9,1,0,2,1,2,8,1,997,0,0,0,0,4,0,1,1,15,59,0,0,1,7,0,0,0,0,7,10003,2009,1559,************,20,2,2,0,0,0,12,12,1,0,20016,2004,CAV,***,CP,1041,0,,2617,,15,1,1,15,59,3,12,2,0,2
1,1,2,0,47,2,2,13,0,1,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,4,1,1,5,19,15,99,16,1,7,0,0,0,0,0,10003,2009,1915,************,20,2,2,0,0,0,12,12,1,0,20016,2004,CAV,***,CP,1041,0,,2617,,15,1,1,15,59,3,12,2,0,2
1,2,1,0,80,2,1,11,3,1,0,0,0,0,0,5,1,97,2,0,2,8,1,997,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10003,8888,8888,************,35,4,0,0,0,0,12,12,2,0,35047,2002,ABS,***,4D,1102,0,,2873,,15,1,1,15,59,3,12,2,0,2
1,1,1,0,74,1,1,11,0,20,0,0,0,0,0,9,1,0,2,0,2,8,1,997,0,0,0,0,4,0,1,3,8,56,0,16,1,7,0,0,0,0,7,10004,2009,856,************,12,31,0,1,0,0,3,3,2,0,12481,2004,HER,COF,PK,1200,0,,,2,69,1,3,8,40,4,12,5,0,2
1,2,1,0,71,1,1,11,3,1,0,0,0,0,0,5,1,0,2,0,2,8,1,997,0,0,0,0,1,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10004,8888,8888,************,12,31,0,0,0,0,12,12,1,0,12481,2001,F1S,COF,CW,1385,0,,,2,69,1,3,8,40,4,12,5,0,2
1,2,2,0,62,1,2,13,3,1,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,1,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10004,8888,8888,************,12,31,0,0,0,0,12,12,1,0,12481,2001,F1S,COF,CW,1385,0,,,2,69,1,3,8,40,4,12,5,0,2
1,1,1,0,27,1,1,11,0,20,0,0,0,0,1,5,1,97,2,9,2,8,1,997,0,0,0,0,4,0,1,3,1,15,1,10,1,7,0,0,0,0,7,10005,2009,115,************,7,31,0,0,0,0,12,12,1,0,7482,2003,S15,RPC,PK,1205,1405,,,2,77,1,3,0,5,6,34,0,0,1
1,1,1,0,28,2,1,11,3,20,1,4,0,0,9,9,1,0,2,9,2,8,1,997,0,0,0,0,4,1,1,6,15,40,0,50,1,7,0,0,0,0,0,10006,2009,1540,************,35,4,0,0,0,0,4,4,2,0,35047,2005,ASL,***,4D,1102,0,,2915,,9,1,6,14,50,3,12,5,0,2
1,2,1,0,45,1,1,11,3,1,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10006,8888,8888,************,12,20,0,0,0,0,12,12,1,0,12442,1996,WWG,WIN,ES,1207,0,,,1,9,1,6,14,50,3,12,5,0,2
1,1,1,0,59,1,1,11,0,20,0,0,0,0,0,9,1,0,2,9,2,8,1,997,0,0,0,0,4,0,1,7,5,52,0,22,1,7,0,0,0,0,7,10007,2009,552,************,35,4,0,0,0,0,13,13,1,0,35043,1998,EXE,***,4D,998,0,,2353,,75,1,7,5,30,3,42,0,0,1
1,0,1,1,32,1,5,0,0,0,8,0,0,15,9,9,1,0,2,9,2,8,1,997,0,0,0,0,4,1,1,7,20,2,0,12,2,7,0,0,0,0,0,10008,2009,2002,************,,,,,,,,,,,,,,,,,,,,,15,1,7,19,50,14,8,0,0,1
1,1,1,0,44,2,1,11,99,20,0,0,0,0,9,9,0,96,0,9,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10008,8888,8888,************,2,14,0,0,0,0,12,12,1,0,2404,1999,LMT,GCK,4W,1059,0,,,1,15,1,7,19,50,14,8,0,0,1
1,1,1,0,42,1,1,11,0,9,2,9,0,0,1,9,1,22,2,1,2,8,1,997,0,0,0,0,4,0,1,8,17,48,0,0,1,7,0,0,0,0,7,10009,2009,1748,************,12,31,1,0,0,0,0,0,0,0,12481,2004,F2S,SRW,CW,1562,1724,,,2,125,1,8,17,48,6,1,0,0,1
1,1,1,0,20,1,1,11,0,20,0,0,0,0,1,9,0,96,0,9,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10010,8888,8888,************,12,31,0,0,0,0,12,12,1,0,12481,2000,F15,COF,PK,1195,0,,,1,97,1,9,21,30,2,12,1,0,2
1,1,2,0,999,9,2,12,0,9,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10010,8888,8888,************,12,31,0,0,0,0,12,12,1,0,12481,2000,F15,COF,PK,1195,0,,,1,97,1,9,21,30,2,12,1,0,2
1,1,3,0,999,9,2,13,0,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10010,8888,8888,************,12,31,0,0,0,0,12,12,1,0,12481,2000,F15,COF,PK,1195,0,,,1,97,1,9,21,30,2,12,1,0,2
1,2,1,0,18,2,1,11,0,9,1,1,0,0,0,9,1,0,2,0,2,8,1,997,0,0,0,0,4,1,1,10,0,34,3,4,1,7,0,0,0,0,0,10010,2009,34,************,12,14,2,0,0,0,6,6,2,0,12401,2000,EPR,***,UT,1116,0,,3970,,97,1,9,21,30,2,12,1,0,2
1,2,2,0,17,1,2,13,0,9,1,9,0,0,8,9,1,0,2,8,0,8,0,0,0,0,0,0,4,1,1,10,1,0,3,30,1,7,0,0,0,0,0,10010,2009,100,************,12,14,2,0,0,0,6,6,2,0,12401,2000,EPR,***,UT,1116,0,,3970,,97,1,9,21,30,2,12,1,0,2
1,2,3,0,11,1,2,23,3,20,0,0,0,0,8,9,1,0,2,8,0,8,0,0,0,0,0,0,4,0,1,9,21,30,0,0,1,7,0,0,0,0,7,10010,2009,2130,************,12,14,2,0,0,0,6,6,2,0,12401,2000,EPR,***,UT,1116,0,,3970,,97,1,9,21,30,2,12,1,0,2
1,1,1,0,44,2,1,11,0,20,0,0,0,0,0,9,1,0,2,0,2,8,1,997,0,0,0,0,4,0,1,13,9,10,0,5,1,7,0,0,0,0,7,10011,2009,910,************,20,31,0,0,0,0,9,9,1,0,20481,2000,SK1,SIL,PC,1435,1575,,,2,61,1,13,9,5,4,42,0,0,1
1,1,1,0,57,1,1,11,0,20,1,9,0,0,1,5,1,22,2,0,2,8,1,997,0,0,0,0,4,0,1,15,16,10,1,25,2,7,0,0,0,0,7,10012,2009,1610,************,20,20,2,0,0,0,12,12,1,0,20441,1989,AST,***,SV,1110,0,,3268,,21,1,15,14,45,5,42,0,0,1
1,1,2,0,42,2,2,13,0,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10012,8888,8888,************,20,20,2,0,0,0,12,12,1,0,20441,1989,AST,***,SV,1110,0,,3268,,21,1,15,14,45,5,42,0,0,1
1,1,3,0,999,9,2,23,0,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10012,8888,8888,************,20,20,2,0,0,0,12,12,1,0,20441,1989,AST,***,SV,1110,0,,3268,,21,1,15,14,45,5,42,0,0,1
1,1,1,0,27,1,1,11,0,20,0,0,0,0,0,5,1,97,2,9,2,8,1,997,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10013,8888,8888,************,22,4,0,0,0,0,12,12,1,0,22020,2004,GPG,***,4D,1105,0,,3477,,101,1,15,19,58,12,12,5,0,2
1,2,1,0,21,1,1,11,3,20,0,0,0,0,0,5,1,97,2,0,2,8,1,997,0,0,0,0,4,1,1,25,13,0,233,2,1,7,0,0,0,1,0,10013,2009,1300,************,12,4,0,0,0,0,9,9,2,0,12016,2008,CVP,***,4D,1146,0,,0,,101,1,15,19,58,12,12,5,0,2
1,1,1,0,41,1,1,11,0,9,2,9,0,0,0,9,1,27,2,0,2,8,1,997,0,0,0,0,4,0,1,17,16,0,1,0,1,1,0,0,0,0,7,10014,2009,1600,************,23,15,2,0,0,0,11,11,1,0,23421,2001,YUK,YUK,4W,1160,0,,,2,9,1,17,15,0,6,42,0,0,1
1,1,1,0,25,1,1,11,0,20,0,0,0,0,1,5,1,39,2,9,2,8,1,997,0,0,0,0,4,0,1,21,22,45,0,0,3,7,0,0,0,0,7,10015,2009,2245,************,20,31,0,0,0,0,12,12,1,0,20481,1984,C10,C10,PK,1175,1315,,,1,99,1,21,22,45,6,42,0,0,1
1,1,2,0,25,1,2,13,0,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,3,88,88,88,88,999,99,0,0,0,0,0,8,0,10015,8888,8888,************,20,31,0,0,0,0,12,12,1,0,20481,1984,C10,C10,PK,1175,1315,,,1,99,1,21,22,45,6,42,0,0,1
1,1,1,0,40,2,1,11,0,20,1,9,0,0,1,9,1,27,2,0,2,8,1,997,0,0,0,0,4,0,1,21,11,15,1,5,1,7,0,0,0,0,7,10016,2009,1115,************,20,14,2,0,0,0,11,1,1,0,20403,2004,TRL,***,UT,1130,0,,4425,,109,1,21,10,10,2,34,0,0,2
1,1,2,0,4,2,2,23,4,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,1,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10016,8888,8888,************,20,14,2,0,0,0,11,1,1,0,20403,2004,TRL,***,UT,1130,0,,4425,,109,1,21,10,10,2,34,0,0,2
1,2,1,0,48,1,1,11,3,20,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10016,8888,8888,************,41,30,0,1,0,0,1,1,2,0,41471,2003,3CP,B30,PC,1257,0,,,1,109,1,21,10,10,2,34,0,0,2
1,1,1,0,60,2,1,11,3,9,0,0,0,0,0,9,1,97,2,0,2,8,1,997,0,0,0,0,4,0,1,22,9,5,0,27,2,7,0,0,0,0,7,10017,2009,905,************,20,4,0,0,0,0,3,3,2,0,20037,2003,MAL,***,4D,1070,0,,3106,,85,1,22,8,38,2,12,5,0,2
1,1,2,0,80,2,2,13,3,9,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,4,0,1,22,9,5,0,27,2,7,0,0,0,0,7,10017,2009,905,************,20,4,0,0,0,0,3,3,2,0,20037,2003,MAL,***,4D,1070,0,,3106,,85,1,22,8,38,2,12,5,0,2
1,2,1,0,50,2,1,11,3,1,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10017,8888,8888,************,41,20,0,0,0,0,12,12,1,0,41441,2004,MWG,***,SV,1118,0,,3794,,85,1,22,8,38,2,12,5,0,2
1,2,2,0,40,2,2,13,3,1,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10017,8888,8888,************,41,20,0,0,0,0,12,12,1,0,41441,2004,MWG,***,SV,1118,0,,3794,,85,1,22,8,38,2,12,5,0,2
1,2,3,0,39,2,2,21,3,9,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10017,8888,8888,************,41,20,0,0,0,0,12,12,1,0,41441,2004,MWG,***,SV,1118,0,,3794,,85,1,22,8,38,2,12,5,0,2
1,1,1,0,22,1,1,11,0,20,1,9,0,0,1,9,1,31,2,9,2,8,1,997,0,0,0,0,4,0,1,1,0,54,0,0,1,6,0,0,0,0,7,10018,2009,54,************,18,4,2,0,0,0,8,1,1,0,18020,1991,RGL,***,4D,1075,0,,3158,,103,1,1,0,54,12,37,0,0,1
1,1,2,0,23,1,2,13,0,20,1,9,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10018,8888,8888,************,18,4,2,0,0,0,8,1,1,0,18020,1991,RGL,***,4D,1075,0,,3158,,103,1,1,0,54,12,37,0,0,1
1,1,1,0,61,1,1,11,0,9,1,9,0,0,9,9,1,0,2,0,2,8,1,177,0,0,0,0,4,1,1,15,3,40,10,0,1,7,0,0,0,0,0,10019,2009,340,************,49,31,0,0,0,0,12,12,1,0,49482,2000,TXL,TUN,4C,1283,0,,,2,97,1,14,17,40,15,12,2,0,2
1,2,1,0,52,1,1,11,3,1,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10019,8888,8888,************,20,21,0,0,0,0,12,12,2,0,20461,2007,E25,EXP,CG,1350,0,,,2,97,1,14,17,40,15,12,2,0,2
1,1,1,0,31,1,1,11,5,0,8,0,0,0,9,9,1,10,2,9,2,8,1,997,0,0,0,0,4,1,1,22,3,58,5,21,1,7,0,0,0,0,0,10020,2009,358,************,72,80,0,0,0,0,12,12,1,0,72706,2006,DLI,***,RS,,,1450,,,103,1,21,22,37,2,18,0,0,1
1,1,1,0,13,1,1,11,5,0,8,0,0,0,9,9,1,0,2,9,2,8,1,997,0,0,0,0,4,1,1,25,14,4,0,19,1,7,0,0,0,0,0,10021,2009,1404,************,37,90,0,0,0,0,12,12,1,0,37739,9999,999,999,99,9999,9999,9999,9999,9,25,1,25,13,45,6,12,5,0,2
1,2,1,0,23,1,1,11,3,20,0,0,0,0,0,1,10,0,2,0,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10021,8888,8888,************,20,15,0,0,0,0,9,9,2,0,20421,2004,KTA,***,UT,1160,0,,5050,,25,1,25,13,45,6,12,5,0,2
1,1,1,0,36,2,1,11,3,9,0,0,0,0,0,9,1,0,2,0,2,8,1,997,0,0,0,0,4,0,1,26,13,30,0,0,1,7,0,0,0,0,7,10022,2009,1330,************,22,6,2,0,0,0,14,12,1,0,22032,2005,VIB,***,4H,1024,0,,2700,,59,1,26,13,30,4,34,0,0,1
1,1,1,0,79,1,1,11,3,20,0,0,0,0,0,9,0,96,0,0,0,8,0,0,0,0,0,0,4,1,1,2,16,16,3,39,1,7,0,0,0,0,0,10023,2009,1616,************,12,4,0,0,0,0,9,9,2,0,12013,1999,ESE,***,4D,984,0,,2468,,73,1,2,12,37,15,12,5,0,2
1,1,2,0,78,2,2,13,3,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10023,8888,8888,************,12,4,0,0,0,0,9,9,2,0,12013,1999,ESE,***,4D,984,0,,2468,,73,1,2,12,37,15,12,5,0,2
1,2,1,0,28,1,1,11,3,20,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10023,8888,8888,************,52,31,0,0,0,0,12,12,1,0,52472,2006,DUR,RAI,CW,1313,0,,,2,73,1,2,12,37,15,12,5,0,2
1,1,1,0,21,1,1,11,0,9,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10024,8888,8888,************,20,4,0,0,0,0,12,12,1,0,20002,2005,IMP,***,4D,1105,0,,3389,,73,1,13,10,25,14,12,5,0,2
1,1,2,0,999,9,2,13,0,9,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10024,8888,8888,************,20,4,0,0,0,0,12,12,1,0,20002,2005,IMP,***,4D,1105,0,,3389,,73,1,13,10,25,14,12,5,0,2
1,1,3,0,999,9,2,23,0,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10024,8888,8888,************,20,4,0,0,0,0,12,12,1,0,20002,2005,IMP,***,4D,1105,0,,3389,,73,1,13,10,25,14,12,5,0,2
1,2,1,0,51,1,1,11,3,9,0,0,0,0,0,9,1,97,2,0,2,8,1,997,0,0,0,0,4,0,1,13,10,25,0,0,1,7,0,0,0,0,7,10024,2009,1025,************,49,4,0,0,0,0,9,9,2,0,49032,1995,COA,***,4D,970,0,,2315,,73,1,13,10,25,14,12,5,0,2
1,1,1,0,20,1,1,11,0,9,2,9,0,0,9,9,0,96,0,9,0,8,0,0,0,0,0,0,4,0,1,16,16,50,0,0,1,1,0,0,0,0,7,10025,2009,1650,************,49,2,0,0,0,0,3,3,3,0,49033,2000,GTF,***,2L,1023,0,,2500,,73,1,16,16,50,15,12,5,0,4
1,1,2,0,12,1,2,13,0,9,1,9,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10025,8888,8888,************,49,2,0,0,0,0,3,3,3,0,49033,2000,GTF,***,2L,1023,0,,2500,,73,1,16,16,50,15,12,5,0,4
1,2,1,0,50,2,1,11,3,9,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10025,8888,8888,************,59,4,0,0,0,0,12,12,3,0,59035,2007,E35,***,4D,1093,0,,3600,,73,1,16,16,50,15,12,5,0,4
1,2,2,0,51,1,2,13,3,9,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,1,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10025,8888,8888,************,59,4,0,0,0,0,12,12,3,0,59035,2007,E35,***,4D,1093,0,,3600,,73,1,16,16,50,15,12,5,0,4
1,2,3,0,999,9,2,23,3,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10025,8888,8888,************,59,4,0,0,0,0,12,12,3,0,59035,2007,E35,***,4D,1093,0,,3600,,73,1,16,16,50,15,12,5,0,4
1,3,1,0,66,1,1,11,3,20,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10025,8888,8888,************,22,2,0,0,0,0,12,12,2,0,22020,1994,GFS,***,CP,1075,0,,3275,,73,1,16,16,50,15,12,5,0,4
1,3,2,0,62,2,2,13,3,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,1,1,88,88,88,88,999,99,0,0,0,0,0,8,0,10025,8888,8888,************,22,2,0,0,0,0,12,12,2,0,22020,1994,GFS,***,CP,1075,0,,3275,,73,1,16,16,50,15,12,5,0,4
1,4,1,0,22,1,1,11,3,9,0,0,0,0,0,5,0,96,0,0,0,8,0,0,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10025,8888,8888,************,7,30,0,0,0,0,12,12,1,0,7472,2005,QST,DAK,CW,1309,0,,,2,73,1,16,16,50,15,12,5,0,4
1,1,1,0,48,1,1,11,3,0,0,0,0,0,0,5,1,97,2,0,2,8,3,997,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10026,8888,8888,************,87,66,0,1,0,0,12,12,1,0,87881,1999,379,CON,DS,0,0,,,8,125,1,12,14,35,4,12,1,0,3
1,2,1,0,59,1,1,11,3,0,0,0,0,0,0,5,1,0,2,0,0,8,0,0,0,0,0,0,4,0,1,12,15,30,0,55,1,7,0,0,0,0,7,10026,2009,1530,************,38,30,0,0,0,0,6,6,3,0,38471,1986,LBD,PUP,PK,1179,0,,,1,125,1,12,14,35,4,12,1,0,3
1,3,1,0,52,1,1,11,3,0,0,0,0,0,0,5,1,0,2,0,2,8,3,997,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10026,8888,8888,************,87,66,0,1,0,0,6,6,2,0,87881,2008,389,CON,DS,0,0,,,8,125,1,12,14,35,4,12,1,0,3
1,1,1,0,32,1,1,11,3,9,0,0,1,0,1,9,0,96,0,1,0,8,0,0,0,0,0,0,4,1,1,11,15,33,43,30,1,7,0,0,0,0,0,10027,2009,1533,************,49,2,0,0,0,0,3,3,1,0,49033,2000,CGF,***,2L,1023,0,,2425,,89,1,9,20,3,15,42,0,0,1
1,1,1,0,38,1,1,11,0,0,8,0,0,0,9,9,1,0,2,9,0,8,0,0,0,0,0,0,4,1,1,19,10,48,1,14,1,7,0,0,0,0,0,10028,2009,1048,************,76,90,1,0,0,0,0,0,0,0,76739,2008,Y7A,***,AT,,,686,,,49,1,19,9,34,6,1,0,0,1
1,0,1,1,81,1,5,0,0,0,8,0,0,12,0,9,1,0,2,0,2,8,1,997,0,0,0,0,4,1,1,10,18,6,147,6,1,7,0,0,0,0,0,10029,2009,1806,************,,,,,,,,,,,,,,,,,,,,,97,1,4,15,0,14,12,1,0,2
1,2,1,0,26,2,1,11,3,9,0,0,0,0,0,5,1,0,2,0,2,8,1,997,0,0,0,0,0,0,88,88,88,88,999,99,0,0,0,0,0,8,0,10029,8888,8888,************,35,4,0,0,0,0,12,1,1,0,35039,1996,MGS,***,4D,1063,0,,2886,,97,1,4,15,0,14,12,1,0,2
