VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
JA3AY26C51U0,J,A,3,A,Y,2,6,C,5,1,U,0,1,1,1,52,35,4,1,1,0,0,15,1,0,0,0,0,0,0,0,0,0,0,3,3,0,6,2,2,0,0,0,1,0,12,1,12,0,0,0,0,0,17,0,0,1,0,10001,0,52035,2001,MES,***,4D,000000000,*,00000000000,984,0,,2437,,1,0,1,1,6,0,0,3,0,0,0,0,0,1,1,0,0,0,5,4,38,0,0,0,155,74,0,0,0,2008,2007,35550,1,2,18,15,12,5,2
3GNEC13T92G2,3,G,N,E,C,1,3,T,9,2,G,2,1,2,1,20,482,31,1,1,0,0,65,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,1,2,0,0,0,1,0,12,0,12,0,0,0,0,0,17,0,0,1,0,10001,0,20482,2002,CAV,AVL,CW,000000000,G,00000000000,1300,0,,,2,1,0,1,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,69,0,0,0,0,0,35148,1,2,18,15,12,5,2
2B3HD46R62H2,2,B,3,H,D,4,6,R,6,2,H,2,1,1,1,7,41,4,1,1,0,0,999,1,0,0,0,0,0,0,0,0,0,0,12,12,0,4,1,3,0,0,0,1,0,9,0,9,0,0,0,0,0,17,0,0,1,0,10002,0,7041,2002,ISE,***,4D,000000000,*,00000000000,1130,0,,3373,,1,0,1,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,74,0,0,0,0,0,36576,1,1,20,0,9,0,1
1G1JC12FX472,1,G,1,J,C,1,2,F,X,4,7,2,1,1,2,20,16,2,1,2,2,0,75,1,0,0,0,0,0,0,0,5,0,0,12,12,0,6,1,2,0,0,0,1,0,12,2,65,12,64,1,3,0,17,0,0,1,0,10003,0,20016,2004,CAV,***,CP,000000000,*,00000000000,1041,0,,2617,,1,0,1,1,6,0,0,3,0,0,0,0,1,0,2,0,4,1,8,1,5,28,0,0,225,71,0,0,0,2007,2006,36264,1,1,15,59,12,2,2
1N4AL11D72C2,1,N,4,A,L,1,1,D,7,2,C,2,1,2,1,35,47,4,1,1,0,0,45,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,2,2,0,0,0,1,0,12,0,12,0,0,0,0,0,17,0,0,1,0,10003,0,35047,2002,ABS,***,4D,000000000,*,00000000000,1102,0,,2873,,1,0,1,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,64,0,0,0,0,0,36203,1,1,15,59,12,2,2
2FTRF17W94CA,2,F,T,R,F,1,7,W,9,4,C,A,1,1,1,12,481,31,1,1,0,1,50,1,0,0,0,1,0,0,0,0,0,0,3,3,0,6,2,2,0,0,0,1,0,12,1,63,65,12,62,64,0,17,0,0,1,0,10004,0,12481,2004,HER,COF,PK,000000000,G,00000000000,1200,0,,,2,1,0,1,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,200,71,0,0,0,0,0,36318,1,3,8,40,12,5,2
1FTRW07L01KE,1,F,T,R,W,0,7,L,0,1,K,E,1,2,2,12,481,31,1,1,0,0,45,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,1,2,0,0,0,1,0,12,0,12,63,0,0,0,0,17,0,0,1,0,10004,0,12481,2001,F1S,COF,CW,000000000,G,00000000000,1385,0,,,2,1,0,1,1,6,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,74,0,0,0,0,0,36311,1,3,8,40,12,5,2
1D7HU16N33J5,1,D,7,H,U,1,6,N,3,3,J,5,1,1,1,7,482,31,1,1,0,0,40,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,1,2,0,0,0,1,0,38,1,64,34,38,63,0,0,17,0,0,1,0,10005,0,7482,2003,S15,RPC,PK,000000000,G,00000000000,1205,1405,,,2,1,1,1,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,190,71,0,0,0,0,0,35610,1,3,0,5,34,0,1
1N4AL11D15C2,1,N,4,A,L,1,1,D,1,5,C,2,1,1,1,35,47,4,1,1,0,0,55,1,0,0,0,0,0,0,0,0,0,0,4,4,0,6,2,2,0,0,0,1,0,12,1,65,12,64,0,0,0,17,0,0,1,0,10006,0,35047,2005,ASL,***,4D,000000000,*,00000000000,1102,0,,2915,,1,0,1,1,6,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,95,62,0,0,0,0,0,35987,1,6,14,50,12,5,2
2FMDA5144TBA,2,F,M,D,A,5,1,4,4,T,B,A,1,2,1,12,442,20,1,2,0,0,30,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,1,2,0,0,0,1,0,12,0,12,0,0,0,0,0,17,0,0,1,0,10006,0,12442,1996,WWG,WIN,ES,000000000,G,00000000000,1207,0,,,1,1,0,1,1,6,0,0,3,0,0,0,0,0,1,0,0,0,0,6,6,0,0,0,0,155,68,0,0,0,2006,2006,35031,1,6,14,50,12,5,2
