,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
1997,3.620%,1.180%,-0.990%,0.490%,4.060%,3.110%,4.700%,0.520%,4.050%,-1.270%,-0.190%,1.290%,22.35%
1998,-0.190%,3.760%,3.540%,1.150%,-1.680%,0.230%,-0.460%,-7.810%,1.050%,2.170%,3.780%,2.950%,8.23%
1999,2.230%,-0.840%,3.480%,4.920%,1.150%,4.130%,0.820%,0.320%,0.740%,1.900%,5.330%,7.730%,36.56%
2000,0.950%,6.760%,1.740%,-1.470%,-1.000%,3.260%,0.060%,3.740%,-0.710%,-1.070%,-2.520%,2.200%,12.19%
2001,3.040%,-1.440%,-1.110%,2.020%,1.470%,0.510%,-0.570%,-0.180%,-2.580%,1.840%,2.020%,1.710%,6.77%
2002,0.660%,-0.480%,1.870%,0.620%,0.380%,-1.490%,-2.240%,0.590%,-1.240%,0.720%,2.090%,0.010%,1.42%
2003,0.530%,0.090%,0.120%,2.530%,3.230%,1.350%,1.160%,1.660%,0.970%,2.290%,0.940%,1.830%,17.99%
2004,1.810%,1.140%,0.650%,-1.220%,-0.440%,0.700%,-0.850%,0.120%,1.520%,0.840%,2.700%,1.560%,8.80%
2005,0.120%,2.020%,-0.860%,-1.530%,0.850%,1.520%,2.290%,1.060%,2.180%,-1.410%,1.920%,2.140%,10.67%
2006,3.500%,0.610%,1.970%,1.730%,-1.840%,-0.390%,0.020%,0.960%,0.110%,1.800%,1.760%,1.610%,12.39%
2007,1.130%,0.790%,0.910%,1.590%,2.000%,0.720%,0.370%,-1.450%,2.510%,2.870%,-2.070%,0.520%,10.22%
2008,-3.260%,1.230%,-2.380%,1.930%,1.820%,-1.730%,-2.100%,-1.210%,-6.990%,-8.410%,-2.800%,0.370%,-21.63%
2009,-0.140%,-1.460%,2.040%,4.270%,5.570%,0.370%,2.970%,1.780%,3.190%,-0.060%,1.330%,1.840%,23.74%
2010,-0.410%,0.760%,2.820%,1.270%,-3.230%,-1.050%,1.930%,-0.400%,3.470%,1.980%,0.510%,2.930%,10.88%
2011,0.440%,1.160%,0.230%,1.140%,-0.850%,-1.050%,-0.090%,-3.690%,-4.290%,3.450%,-1.370%,-0.450%,-5.48%
2012,3.100%,2.310%,0.030%,-0.580%,-3.040%,0.590%,0.740%,0.980%,1.610%,0.120%,0.530%,1.700%,8.25%
2013,2.480%,0.280%,1.370%,0.540%,0.870%,-1.520%,1.620%,-0.610%,2.030%,1.710%,0.760%,1.140%,11.12%
2014,-0.410%,1.870%,-0.070%,-0.200%,1.110%,1.380%,-0.580%,1.160%,-1.260%,-0.290%,0.600%,-0.420%,2.88%
2015,-0.100%,2.200%,0.420%,1.080%,0.810%,-1.090%,-0.550%,-2.500%,-1.690%,2.220%,0.220%,-0.860%,0.04%
2016,-2.990%,-0.350%,2.450%,1.030%,0.620%,-0.040%,2.040%,0.730%,0.890%,-0.310%,0.820%,1.140%,6.10%
2017,1.340%,1.110%,0.510%,0.590%,0.340%,0.370%,1.080%,0.630%,1.030%,1.080%,0.640%,1.150%,10.36%
2018,2.070%,-1.520%,-0.720%,0.450%,0.740%,-0.470%,0.620%,0.130%,-0.090%,-3.300%,-0.410%,-2.750%,-5.23%
2019,3.640%,1.250%,0.610%,1.150%,-1.720%,2.110%,0.480%,-0.960%,0.320%,0.710%,0.990%,1.670%,10.64%
2020,-0.180%,-2.840%,-9.160%,5.370%,2.670%,2.170%,2.680%,2.390%,-0.700%,-0.110%,5.800%,3.440%,11.14%
2021,1.050%,2.560%,1.110%,2.040%,1.020%,0.770%,-0.180%,1.050%,-0.950%,1.570%,-1.380%,1.190%,10.22%
2022,-2.620%,-0.940%,0.600%,-2.390%,-0.820%,-3.850%,2.580%,-0.380%,-3.940%,1.860%,2.890%,-1.240%,-8.22%
,,,,,,,,,,,,,
